school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Secondary,161,3806,Berwick Secondary College,MANUKA ROAD,O,null,BERWICK,VIC,3806,Casey (C),Manuka Road,null,VIC,7603,145.36418,Berwick,Government,03 8768 1000,-38.03107,1
Primary,421,3113,Warrandyte Primary School,5-11 Forbes Street,O,null,WARRANDYTE,VIC,3113,Manningham (C),5-11 Forbes Street,null,VIC,12,145.21397,Warrandyte,Government,03 9844 3537,-37.74268,1
Primary,161,3806,Berwick Primary School,37 Fairholme Boulevard,O,null,Berwick,VIC,3806,Casey (C),37 Fairholme Boulevard,null,VIC,40,145.35374,Berwick,Government,03 9707 1026,-38.04418,1
Primary,91,3192,Cheltenham Primary School,231 Charman Road,O,null,CHELTENHAM,VIC,3192,Bayside (C),231 Charman Road,null,VIC,84,145.05463,Cheltenham,Government,03 8585 3200,-37.96861,1
Primary,311,3015,Newport Lakes Primary School,Elizabeth Street,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),Elizabeth Street,null,VIC,113,144.87834,Newport,Government,03 9391 8942,-37.83842,1
Primary,571,3761,St Andrews Primary School,Caledonia Street,O,null,ST ANDREWS,VIC,3761,Nillumbik (S),Caledonia Street,null,VIC,128,145.26984,St Andrews,Government,03 9710 1255,-37.60232,1
Primary,534,3936,Dromana Primary School,P O Box 166,O,null,DROMANA,VIC,3936,Mornington Peninsula (S),Mcculloch Street,null,VIC,184,144.95966,Dromana,Government,03 5987 2367,-38.33964,1
Primary,421,3108,Doncaster Primary School,2 - 12 Council Street,O,null,DONCASTER,VIC,3108,Manningham (C),2 - 12 Council Street,null,VIC,197,145.12967,Doncaster,Government,03 9848 1122,-37.7868,1
Primary,571,3095,Eltham Primary School,DALTON STREET,O,null,ELTHAM,VIC,3095,Nillumbik (S),Dalton Street,null,VIC,209,145.1478,Eltham,Government,03 9439 9374,-37.72498,1
Primary,161,3803,Hallam Primary School,24 Harmer Road,O,null,HALLAM,VIC,3803,Casey (C),24 Harmer Road,null,VIC,244,145.25848,Hallam,Government,03 9703 1536,-38.00158,1
Primary,506,3031,Flemington Primary School,P O Box 7,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),Mt Alexander Road,null,VIC,250,144.9336,Flemington,Government,03 9376 7137,-37.78139,1
Primary,433,3011,Footscray Primary School,P O Box 6019,O,null,WEST FOOTSCRAY,VIC,3012,Maribyrnong (C),Cnr Geelong Road & Barkly St,null,VIC,253,144.89267,Footscray,Government,03 9687 1910,-37.79838,1
Primary,413,3437,Gisborne Primary School,35 FISHER STREET,O,null,GISBORNE,VIC,3437,Macedon Ranges (S),35 Fisher Street,null,VIC,262,144.58844,Gisborne,Government,03 5428 2022,-37.49086,1
Primary,91,3191,Sandringham Primary School,31 Bamfield Street,O,null,SANDRINGHAM,VIC,3191,Bayside (C),31 Bamfield Street,null,VIC,267,145.00931,Sandringham,Government,03 9598 1488,-37.94763,1
Primary,111,3122,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),Cnr Wood Street & Burwood Road,null,VIC,293,145.01839,Hawthorn,Government,03 9818 2233,-37.82011,1
Primary,66,3084,Heidelberg Primary School,P O Box 330,O,null,HEIDELBERG,VIC,3084,Banyule (C),Cape Street,null,VIC,294,145.0678,Heidelberg,Government,03 9457 2259,-37.7547,1
Primary,413,3441,Mount Macedon Primary School,641 Mount Macedon Road,O,null,MOUNT MACEDON,VIC,3441,Macedon Ranges (S),641 Mount Macedon Road,null,VIC,415,144.58414,Mount Macedon,Government,03 5426 1446,-37.40479,1
Primary,465,3337,Melton Primary School,P O Box 512,O,null,MELTON,VIC,3337,Melton (C),Unitt Street,null,VIC,430,144.58647,Melton,Government,03 9743 5335,-37.68108,1
Primary,735,3065,Fitzroy Primary School,P O Box 150,O,null,FITZROY,VIC,3065,Yarra (C),319 George Street,null,VIC,450,144.9815,Fitzroy,Government,03 9417 4222,-37.7996,1
Primary,698,3151,Burwood East Primary School,P O Box 374,O,null,GLEN WAVERLEY,VIC,3150,Whitehorse (C),Cnr Blackburn And Highbury Rds,null,VIC,454,145.1522,Burwood East,Government,03 9802 8618,-37.85978,1
Primary,413,3438,New Gisborne Primary School,239 Station Road,O,null,NEW GISBORNE,VIC,3438,Macedon Ranges (S),239 Station Road,null,VIC,467,144.59657,New Gisborne,Government,03 5428 2232,-37.46289,1
Primary,506,3040,Essendon Primary School,38 Raleigh Street,O,null,ESSENDON,VIC,3040,Moonee Valley (C),38 Raleigh Street,null,VIC,483,144.92104,Essendon,Government,03 9370 7816,-37.7531,1
Primary,525,3058,Coburg Primary School,92 Bell Street,O,null,COBURG,VIC,3058,Moreland (C),92 Bell Street,null,VIC,484,144.96803,Coburg,Government,03 9354 9332,-37.74118,1
Primary,707,3754,Mernda Primary School,P O Box 222,O,null,MERNDA,VIC,3754,Whittlesea (C),25 Everton Drive,null,VIC,488,145.09224,Mernda,Government,03 9717 7900,-37.5946,1
Primary,413,3431,Riddells Creek Primary School,P O Box 255,O,null,RIDDELLS CREEK,VIC,3431,Macedon Ranges (S),69-77 Main Road,null,VIC,528,144.67978,Riddells Creek,Government,03 5428 7277,-37.46122,1
Primary,460,3141,South Yarra Primary School,601 Punt Road,O,null,SOUTH YARRA,VIC,3141,Melbourne (C),601 Punt Road,null,VIC,583,144.98563,South Yarra,Government,03 9866 3424,-37.84135,1
Primary,707,3074,Thomastown Primary School,6 Spring Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),6 Spring Street,null,VIC,631,145.01173,Thomastown,Government,03 9465 2225,-37.68239,1
Primary,726,3030,Werribee Primary School,P O Box 432,O,null,WERRIBEE,VIC,3030,Wyndham (C),2 Deutgam Street,null,VIC,649,144.6591,Werribee,Government,03 9742 6659,-37.9067,1
Primary,485,3756,Wallan Primary School,P O Box 74,O,null,WALLAN,VIC,3756,Mitchell (S),46-48 Queen Street,null,VIC,664,144.97504,Wallan,Government,03 5783 1232,-37.41146,1
Primary,515,3340,Coimadai Primary School,86 Bennetts Lane,O,null,COIMADAI,VIC,3340,Moorabool (S),86 Bennetts Lane,null,VIC,716,144.47832,Coimadai,Government,03 5367 2907,-37.61379,1
Primary,497,3168,Clayton North Primary School,1714 Dandenong Road,O,null,CLAYTON,VIC,3168,Monash (C),1714 Dandenong Road,null,VIC,734,145.12276,Clayton,Government,03 9544 1522,-37.91204,1
Primary,189,3072,Preston South Primary School,P O Box 1527,O,null,PRESTON,VIC,3072,Darebin (C),56B Hotham Street,null,VIC,824,145.00745,Preston,Government,03 9484 1544,-37.74787,1
Primary,343,3195,Mordialloc Beach Primary School,58 Barkly Street,O,null,Mordialloc,VIC,3195,Kingston (C),58 Barkly Street,null,VIC,846,145.0888,Mordialloc,Government,03 9580 1468,-38.00558,1
Primary,745,3777,Healesville Primary School,P O Box 222,O,null,HEALESVILLE,VIC,3777,Yarra Ranges (S),2 View Street,null,VIC,849,145.51604,Healesville,Government,03 5962 4053,-37.65713,1
Primary,275,3223,St Leonards Primary School,1341 Murradoc Road,O,null,ST LEONARDS,VIC,3223,Greater Geelong (C),1341 Murradoc Road,null,VIC,866,144.71503,St Leonards,Government,03 5257 1460,-38.17196,1
Primary,745,3140,Lilydale Primary School,63 - 65 Castella Street,O,null,Lilydale,VIC,3140,Yarra Ranges (S),63 - 65 Castella Street,null,VIC,876,145.35406,Lilydale,Government,03 9735 1642,-37.75367,1
Primary,111,3124,Camberwell Primary School,290 Camberwell Road,O,null,CAMBERWELL,VIC,3124,Boroondara (C),290 Camberwell Road,null,VIC,888,145.05795,Camberwell,Government,03 9882 4663,-37.83266,1
Primary,327,3059,Greenvale Primary School,12-24 Bradford Avenue,O,null,GREENVALE,VIC,3059,Hume (C),12-24 Bradford Avenue,null,VIC,890,144.88593,Greenvale,Government,03 9333 2500,-37.64031,1
Primary,465,3335,Rockbank Primary School,P O Box 620,O,null,MELTON,VIC,3337,Melton (C),97-105 Westcott Parade,null,VIC,919,144.66214,Rockbank,Government,03 9747 1210,-37.73202,1
Primary,571,3754,Doreen Primary School,75 Doctors Gully Road,O,null,DOREEN,VIC,3754,Nillumbik (S),75 Doctors Gully Road,null,VIC,945,145.14648,Doreen,Government,03 9717 3563,-37.60632,1
Primary,745,3775,Yarra Glen Primary School,Symonds Street,O,null,Yarra Glen,VIC,3775,Yarra Ranges (S),Symonds Street,null,VIC,956,145.37161,Yarra Glen,Government,03 9730 1254,-37.6491,1
Primary,327,3049,Westmeadows Primary School,34-46 Riddell Street,O,null,Westmeadows,VIC,3049,Hume (C),34-46 Riddell Street,null,VIC,982,144.8957,Westmeadows,Government,03 9309 4350,-37.67565,1
Primary,327,3429,Sunbury Primary School,P O Box 212,O,null,SUNBURY,VIC,3429,Hume (C),41 The Heights,null,VIC,1002,144.72813,Sunbury,Government,03 9744 9744,-37.59769,1
Primary,571,3089,Diamond Creek Primary School,17 Clyde Street,O,null,DIAMOND CREEK,VIC,3089,Nillumbik (S),17 Clyde Street,null,VIC,1003,145.15166,Diamond Creek,Government,03 9438 1108,-37.67185,1
Primary,698,3133,Vermont Primary School,Nurlendi Road,O,null,VERMONT,VIC,3133,Whitehorse (C),4-10 Nurlendi Road,null,VIC,1022,145.19418,Vermont,Government,03 9874 2511,-37.83766,1
Primary,111,3103,Balwyn Primary School,86B Balwyn Road,O,null,BALWYN,VIC,3103,Boroondara (C),86B Balwyn Road,null,VIC,1026,145.08151,Balwyn,Government,03 9836 7121,-37.81394,1
Primary,367,3179,Scoresby Primary School,11 Ingrid Street,O,null,SCORESBY,VIC,3179,Knox (C),11 Ingrid Street,null,VIC,1028,145.2275,Scoresby,Government,03 9763 7484,-37.89395,1
Primary,745,3139,Wandin Yallock Primary School,105 Beenak Road,O,null,WANDIN NORTH,VIC,3139,Yarra Ranges (S),105 Beenak Road,null,VIC,1033,145.43642,Wandin North,Government,03 5964 4276,-37.79035,1
Primary,745,3770,Yering Primary School,P O Box 139,O,null,Coldstream,VIC,3770,Yarra Ranges (S),22-24 Melba Highway,null,VIC,1034,145.38222,Yering,Government,03 9739 1451,-37.70535,1
Primary,327,3064,Mickleham Primary School,1880 Mickleham Road,O,null,MICKLEHAM,VIC,3064,Hume (C),1880 Mickleham Road,null,VIC,1051,144.8772,Mickleham,Government,03 9745 2250,-37.56334,1
Primary,413,3432,Bolinda Primary School,1 Mullalys Road,O,null,BOLINDA,VIC,3432,Macedon Ranges (S),1 Mullalys Road,null,VIC,1070,144.7454,Bolinda,Government,03 5428 5317,-37.43373,1
Primary,111,3101,Kew Primary School,Peel Street,O,null,KEW,VIC,3101,Boroondara (C),Peel Street,null,VIC,1075,145.03316,Kew,Government,03 9853 8325,-37.80463,1
Primary,534,3943,Sorrento Primary School,PO Box 121,O,null,SORRENTO,VIC,3943,Mornington Peninsula (S),Kerferd Avenue,null,VIC,1090,144.74092,Sorrento,Government,03 5984 2130,-38.34179,1
Primary,534,3915,Hastings Primary School,10 - 20 Hodgins Road,O,null,HASTINGS,VIC,3915,Mornington Peninsula (S),10 - 20 Hodgins Road,null,VIC,1098,145.18912,Hastings,Government,03 5979 1517,-38.29946,1
Primary,343,3189,Moorabbin Primary School,61 Worthing Road,O,null,MOORABBIN,VIC,3189,Kingston (C),61 Worthing Road,null,VIC,1111,145.03917,Moorabbin,Government,03 9555 1101,-37.94236,1
Primary,571,3759,Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd,O,null,PANTON HILL,VIC,3759,Nillumbik (S),585 Kangaroo Grd-St Andrews Rd,null,VIC,1134,145.23956,Panton Hill,Government,03 9719 7202,-37.6416,1
Primary,275,3224,Leopold Primary School,P O Box 42,O,null,LEOPOLD,VIC,3224,Greater Geelong (C),1 Kensington Road,null,VIC,1146,144.46454,Leopold,Government,03 5250 1233,-38.18689,1
Primary,111,3146,Glen Iris Primary School,170 Glen Iris Road,O,null,GLEN IRIS,VIC,3146,Boroondara (C),170 Glen Iris Road,null,VIC,1148,145.06589,Glen Iris,Government,03 9885 3624,-37.86044,1
Primary,590,3206,Albert Park Primary School,Bridport Street,O,null,ALBERT PARK,VIC,3206,Port Phillip (C),Bridport Street,null,VIC,1181,144.9524,Albert Park,Government,03 9699 9090,-37.84179,1
Primary,311,3016,Williamstown Primary School,Cnr. Electra & Parker Street,O,null,WILLIAMSTOWN,VIC,3016,Hobsons Bay (C),Cecil Street,null,VIC,1183,144.89973,Williamstown,Government,03 9397 1248,-37.86381,1
Primary,534,3939,Boneo Primary School,PO Box 300,O,null,RYE,VIC,3941,Mornington Peninsula (S),582 Boneo Road,null,VIC,1184,144.88698,Boneo,Government,03 5988 6253,-38.41207,1
Primary,608,3225,Queenscliff Primary School,P O Box 91,O,null,QUEENSCLIFF,VIC,3225,Queenscliffe (B),Cnr Stokes & Stevens Street,null,VIC,1190,144.6562,Queenscliff,Government,03 5258 1696,-38.26722,1
Primary,217,3977,Skye Primary School,P O Box 8634,O,null,Carrum Downs,VIC,3201,Frankston (C),395 Ballarto Road,null,VIC,1222,145.20123,Skye,Government,03 9786 1555,-38.11771,1
Primary,485,3756,Upper Plenty Primary School,P O Box 496,O,null,Wallan,VIC,3756,Mitchell (S),10 Clarkes Road,null,VIC,1244,145.05788,Upper Plenty,Government,03 5783 1358,-37.42371,1
Primary,735,3054,Carlton North Primary School,60 LEE STREET,O,null,CARLTON NORTH,VIC,3054,Yarra (C),60 Lee Street,null,VIC,1252,144.97302,Carlton North,Government,03 9347 4822,-37.79106,1
Primary,745,3139,Woori Yallock Primary School,1360 Healesville Road,O,null,WOORI YALLOCK,VIC,3139,Yarra Ranges (S),1360 Healesville Road,null,VIC,1259,145.53268,Woori Yallock,Government,03 5964 7258,-37.77737,1
Primary,562,3779,Marysville Primary School,15 Falls Road,O,null,MARYSVILLE,VIC,3779,Murrindindi (S),15 Falls Road,null,VIC,1273,145.74895,Marysville,Government,03 5963 3256,-37.51198,1
Primary,74,3922,Cowes Primary School,P O Box 44,O,null,COWES,VIC,3922,Bass Coast (S),177 Settlement Road,null,VIC,1282,145.2413,Cowes,Government,03 5952 2132,-38.45628,1
Primary,66,3093,Lower Plenty Primary School,P O BOX 9,O,null,LOWER PLENTY,VIC,3093,Banyule (C),126-146 Main Road,null,VIC,1295,145.1155,Lower Plenty,Government,03 9435 2585,-37.72617,1
Primary,735,3068,Clifton Hill Primary School,P O Box 468,O,null,CLIFTON HILL,VIC,3068,Yarra (C),185 Gold St,null,VIC,1360,144.98924,Clifton Hill,Government,03 9489 8333,-37.79231,1
Primary,571,3775,Christmas Hills Primary School,1409 Eltham - Yarra Glen  Road,O,null,CHRISTMAS HILLS,VIC,3775,Nillumbik (S),1409 Eltham-yarra Glen Road,null,VIC,1362,145.30415,Christmas Hills,Government,03 9730 1238,-37.65394,1
Primary,534,3930,Mount Eliza Primary School,P O Box 305,O,null,MOUNT ELIZA,VIC,3930,Mornington Peninsula (S),Wooralla Drive,null,VIC,1368,145.09203,Mount Eliza,Government,03 9787 1385,-38.19547,1
Primary,189,3070,Northcote Primary School,P O Box 210,O,null,NORTHCOTE,VIC,3070,Darebin (C),33 Helen Street,null,VIC,1401,144.99689,Northcote,Government,03 9481 0009,-37.77176,1
Primary,460,3051,North Melbourne Primary School,210 Errol St,O,null,NORTH MELBOURNE,VIC,3051,Melbourne (C),210 Errol Street,null,VIC,1402,144.95078,North Melbourne,Government,03 9329 6902,-37.79861,1
Primary,267,3175,Dandenong Primary School,174-182 Foster Street,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),174-182 Foster Street,null,VIC,1403,145.21982,Dandenong,Government,03 9792 2743,-37.98792,1
Primary,311,3016,Williamstown North Primary School,133 MELBOURNE RD,O,null,WILLIAMSTOWN NORTH,VIC,3016,Hobsons Bay (C),133 Melbourne Road,null,VIC,1409,144.89175,Williamstown,Government,03 9397 5722,-37.8559,1
Primary,118,3023,Cairnlea Park Primary School,Carmody Drive,O,null,CAIRNLEA,VIC,3023,Brimbank (C),Carmody Drive,null,VIC,1434,144.78726,Cairnlea,Government,03 9363 1187,-37.75756,1
Primary,217,3199,Frankston Primary School,Davey Street,O,null,FRANKSTON,VIC,3199,Frankston (C),Davey Street,null,VIC,1464,145.12402,Frankston,Government,03 9783 3769,-38.14756,1
Primary,485,3753,Beveridge Primary School,Arrowsmith Street,O,null,BEVERIDGE,VIC,3753,Mitchell (S),Arrowsmith Street,null,VIC,1476,144.97775,Beveridge,Government,03 9745 2264,-37.47206,1
Primary,590,3182,St Kilda Primary School,2B BRIGHTON ROAD,O,null,ST KILDA,VIC,3182,Port Phillip (C),2B Brighton Road,null,VIC,1479,144.98901,St Kilda,Government,03 9534 3993,-37.87022,1
Primary,745,3799,Warburton Primary School,P O Box 575,O,null,WARBURTON,VIC,3799,Yarra Ranges (S),16 Horners Road,null,VIC,1485,145.7017,Warburton,Government,03 5966 2010,-37.7558,1
Primary,735,3068,Fitzroy North Primary School,Fergie Street,O,null,FITZROY NORTH,VIC,3068,Yarra (C),Fergie Street,null,VIC,1490,144.98415,Fitzroy North,Government,03 9481 5860,-37.78502,1
Primary,189,3072,Preston Primary School,240 Tyler Street,O,null,PRESTON,VIC,3072,Darebin (C),240 Tyler Street,null,VIC,1494,145.01031,Preston,Government,03 9470 1167,-37.73055,1
Primary,161,3980,Tooradin Primary School,P O Box 205,O,null,TOORADIN,VIC,3980,Casey (C),Bayview Road,null,VIC,1503,145.3785,Tooradin,Government,03 5998 3321,-38.20763,1
Primary,111,3122,Glenferrie Primary School,78 - 98 Manningtree Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),78 - 98 Manningtree Road,null,VIC,1508,145.03386,Hawthorn,Government,03 9818 4338,-37.82404,1
Primary,91,3186,Brighton Primary School,59 Wilson Street,O,null,BRIGHTON,VIC,3186,Bayside (C),59 Wilson Street,null,VIC,1542,145.00223,Brighton,Government,03 9592 0177,-37.91175,1
Primary,275,3227,Barwon Heads Primary School,PO Box 1337,O,null,BARWON HEADS,VIC,3227,Greater Geelong (C),Golf Links Road,null,VIC,1574,144.48705,Barwon Heads,Government,03 5254 2324,-38.28119,1
Primary,118,3036,Keilor Primary School,P O Box 110,O,null,KEILOR,VIC,3036,Brimbank (C),25 Kennedy Street,null,VIC,1578,144.8357,Keilor,Government,03 9336 7098,-37.7169,1
Primary,745,3775,Dixons Creek Primary School,Melba Highway,O,null,DIXONS CREEK,VIC,3775,Yarra Ranges (S),Melba Highway,null,VIC,1585,145.41351,Dixons Creek,Government,03 5965 2282,-37.59234,1
Primary,497,3166,Oakleigh Primary School,20 Warrigal Road,O,null,OAKLEIGH,VIC,3166,Monash (C),20 Warrigal Road,null,VIC,1601,145.08862,Oakleigh,Government,03 9568 0558,-37.89447,1
Primary,635,3144,Malvern Central School,Spring Road,O,null,MALVERN,VIC,3144,Stonnington (C),Spring Road,null,VIC,1604,145.0344,Malvern,Government,03 8823 9500,-37.85601,1
Primary,275,3222,Drysdale Primary School,P O Box 122,O,null,DRYSDALE,VIC,3222,Greater Geelong (C),52-66 Clifton Springs Road,null,VIC,1645,144.57175,Drysdale,Government,03 5251 2272,-38.16916,1
Primary,413,3440,Macedon Primary School,P O Box 181,O,null,MACEDON,VIC,3440,Macedon Ranges (S),67 Smith Street,null,VIC,1660,144.56268,Macedon,Government,03 5426 1518,-37.41869,1
Primary,571,3099,Arthurs Creek Primary School,900 Arthurs Creek Rd,O,null,ARTHURS CREEK,VIC,3099,Nillumbik (S),900 Arthurs Creek Road,null,VIC,1666,145.2025,Arthurs Creek,Government,03 9714 8204,-37.579,1
Primary,534,3941,Rye Primary School,P O Box 170,O,null,RYE,VIC,3941,Mornington Peninsula (S),Lyons St,null,VIC,1667,144.82382,Rye,Government,03 5985 2363,-38.37312,1
Primary,562,3711,Buxton Primary School,2208 Maroondah Highway,O,null,Buxton,VIC,3711,Murrindindi (S),2208 Maroondah Highway,null,VIC,1669,145.70905,Buxton,Government,03 5774 7341,-37.4214,1
Primary,161,3806,Harkaway Primary School,65-67 King Road,O,null,HARKAWAY,VIC,3806,Casey (C),65-67 King Road,null,VIC,1697,145.3453,Harkaway,Government,03 9707 1475,-38.00104,1
Primary,534,3926,Balnarring Primary School,P O Box 38,O,null,BALNARRING,VIC,3926,Mornington Peninsula (S),1 Civic Court,null,VIC,1698,145.12299,Balnarring,Government,03 5931 4444,-38.37626,1
Primary,745,3795,Silvan Primary School,P O Box 87,O,null,SILVAN,VIC,3795,Yarra Ranges (S),269 Monbulk Road,null,VIC,1801,145.42245,Silvan,Government,03 9737 9258,-37.82451,1
Primary,367,3156,Lysterfield Primary School,Bellfield Drive,O,null,LYSTERFIELD,VIC,3156,Knox (C),Bellfield Drive,null,VIC,1866,145.27623,Lysterfield,Government,03 9752 7953,-37.9116,1
Primary,735,3067,Abbotsford Primary School,Lithgow Street,O,null,ABBOTSFORD,VIC,3067,Yarra (C),Lithgow Street,null,VIC,1886,144.99881,Abbotsford,Government,03 9428 5977,-37.80898,1
Primary,635,3181,Stonnington Primary School,Hornby St,O,null,WINDSOR,VIC,3181,Stonnington (C),Hornby Street,null,VIC,1896,144.99564,Windsor,Government,03 9521 3711,-37.85715,1
Primary,161,3804,Narre Warren North Primary School,P O Box 129,O,null,NARRE  WARREN  NORTH,VIC,3804,Casey (C),15-31 A'beckett Road,null,VIC,1901,145.31693,Narre  Warren  North,Government,03 9796 8261,-37.97859,1
Primary,433,3011,Footscray City Primary School,10 Hyde Street,O,null,Footscray,VIC,3011,Maribyrnong (C),10 Hyde Street,null,VIC,1912,144.90025,Footscray,Government,03 9687 2826,-37.8064,1
Primary,707,3082,Plenty Parklands Primary School,48 Blossom Park Drive,O,null,MILL PARK,VIC,3082,Whittlesea (C),48 Blossom Park Drive,null,VIC,1915,145.07693,Mill Park,Government,03 9404 4311,-37.66972,1
Primary,726,3211,Little River Primary School,21 Flinders Street,O,null,LITTLE RIVER,VIC,3211,Wyndham (C),21 Flinders Street,null,VIC,1961,144.50037,Little River,Government,03 5283 1214,-37.96501,1
Primary,707,3752,Morang South Primary School,77 Gorge Road,O,null,SOUTH MORANG,VIC,3752,Whittlesea (C),77 Gorge Road,null,VIC,1975,145.09467,South Morang,Government,03 9404 1548,-37.65287,1
Primary,534,3931,Mornington Primary School,P O Box 689,O,null,MORNINGTON,VIC,3931,Mornington Peninsula (S),Vale Street,null,VIC,2033,145.04288,Mornington,Government,03 5976 5500,-38.22179,1
Primary,91,3186,Brighton Beach Primary School,P O Box 9064,O,null,BRIGHTON,VIC,3186,Bayside (C),19 Windermere Crescent,null,VIC,2048,144.99611,Brighton,Government,03 9591 0888,-37.9221,1
Primary,571,3091,Yarrambat Primary School,"552 Yan Yean Road,",O,null,YARRAMBAT,VIC,3091,Nillumbik (S),552 Yan Yean Road,null,VIC,2054,145.13255,Yarrambat,Government,03 9436 1464,-37.64095,1
Primary,66,3088,Greensborough Primary School,P O Box 225,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),130 Grimshaw Street,null,VIC,2062,145.0994,Greensborough,Government,03 9435 1496,-37.70391,1
Primary,161,3977,Cranbourne Primary School,PO Box 26,O,null,CRANBOURNE,VIC,3977,Casey (C),Bakewell Street,null,VIC,2068,145.28902,Cranbourne,Government,03 5996 1744,-38.11165,1
Primary,707,3757,Whittlesea Primary School,2435 Plenty Road,O,null,WHITTLESEA,VIC,3757,Whittlesea (C),2425-2435 Plenty Road,null,VIC,2090,145.11404,Whittlesea,Government,03 9716 2140,-37.51427,1
Primary,571,3097,Kangaroo Ground Primary School,C/O Post Office,O,null,KANGAROO GROUND,VIC,3097,Nillumbik (S),Cr Graham&Eltham-Yarra Glen Rd,null,VIC,2105,145.21532,Kangaroo Ground,Government,03 9712 0292,-37.69168,1
Primary,83,3818,Ripplebrook Primary School,2260 Westernport Road,O,null,RIPPLEBROOK,VIC,3818,Baw Baw (S),2260 Westernport Road,null,VIC,2129,145.75848,Ripplebrook,Government,03 5627 6278,-38.20349,1
Primary,367,3153,Bayswater Primary School,P O Box 82,O,null,BAYSWATER,VIC,3153,Knox (C),Birch Street,null,VIC,2163,145.25935,Bayswater,Government,03 9721 3755,-37.8433,1
Primary,497,3170,Mulgrave Primary School,Gladeswood Drive,O,null,MULGRAVE,VIC,3170,Monash (C),Gladeswood Drive,null,VIC,2172,145.19737,Mulgrave,Government,03 9795 2477,-37.93295,1
Primary,562,3763,Kinglake Primary School,20 McMahons Rd,O,null,KINGLAKE,VIC,3763,Murrindindi (S),20 Mcmahons Rd,null,VIC,2188,145.35664,Kinglake,Government,03 5786 1284,-37.52157,1
Primary,145,3815,Bunyip Primary School,PO Box 12,O,null,BUNYIP,VIC,3815,Cardinia (S),1290 Nar Nar Goon - Longwarry Road,null,VIC,2229,145.71294,Bunyip,Government,03 5629 5462,-38.09892,1
Primary,145,3812,Nar Nar Goon Primary School,27 Spencer St,O,null,NAR NAR GOON,VIC,3812,Cardinia (S),27 Spencer Street,null,VIC,2248,145.57343,Nar Nar Goon,Government,03 5942 5311,-38.08269,1
Primary,745,3765,Montrose Primary School,P O Box 123,O,null,MONTROSE,VIC,3765,Yarra Ranges (S),Leith Road,null,VIC,2259,145.34415,Montrose,Government,03 9728 2203,-37.80879,1
Primary,534,3933,Moorooduc Primary School,Cnr.Derril Rd & M'ton Tyabb Rd,O,null,MOOROODUC,VIC,3933,Mornington Peninsula (S),Cnr Derril Rd & Mornington Tyabb Rd,null,VIC,2327,145.10516,Moorooduc,Government,03 5978 8330,-38.24809,1
Primary,367,3154,The Basin Primary School,P O Box 29,O,null,THE BASIN,VIC,3154,Knox (C),Cnr Liverpool Road & Mountain Highway,null,VIC,2329,145.30843,The Basin,Government,03 9762 1143,-37.84951,1
Primary,506,3031,Kensington Primary School,McCracken Street,O,null,KENSINGTON,VIC,3031,Moonee Valley (C),Mccracken Street,null,VIC,2374,144.92758,Kensington,Government,03 9376 6013,-37.7927,1
Primary,66,3079,Ivanhoe Primary School,Private Bag 3,O,null,IVANHOE,VIC,3079,Banyule (C),122 Waterdale Road,null,VIC,2436,145.04298,Ivanhoe,Government,03 9499 1880,-37.76657,1
Primary,275,3223,Portarlington Primary School,100 Newcombe Street,O,null,PORTARLINGTON,VIC,3223,Greater Geelong (C),100 Newcombe Street,null,VIC,2455,144.65604,Portarlington,Government,03 5259 2572,-38.1156,1
Primary,745,3159,Menzies Creek Primary School,12 SCHOOL ROAD,O,null,MENZIES CREEK,VIC,3159,Yarra Ranges (S),12 School Road,null,VIC,2457,145.39456,Menzies Creek,Government,03 9754 3695,-37.91774,1
Primary,590,3182,St Kilda Park Primary School,68 Fitzroy Street,O,null,ST KILDA,VIC,3182,Port Phillip (C),68 Fitzroy Street,null,VIC,2460,144.97803,St Kilda,Government,03 8598 6444,-37.85815,1
Primary,83,3816,Labertouche Primary School,"35 School Road,",O,null,LABERTOUCHE,VIC,3816,Baw Baw (S),35 School Road,null,VIC,2471,145.80495,Labertouche,Government,03 5628 7503,-38.03767,1
Primary,465,3427,Diggers Rest Primary School,Plumpton Road,O,null,DIGGERS REST,VIC,3427,Melton (C),Plumpton Road,null,VIC,2479,144.70923,Diggers Rest,Government,03 9740 1391,-37.62263,1
Primary,83,3816,Longwarry Primary School,5 McCrae Street,O,null,LONGWARRY,VIC,3816,Baw Baw (S),5 McCrae Street,null,VIC,2505,145.76913,Longwarry,Government,03 5629 9376,-38.1141,1
Primary,145,3783,Gembrook Primary School,50 Main Street,O,null,Gembrook,VIC,3783,Cardinia (S),50 Main Street,null,VIC,2506,145.54524,Gembrook,Government,03 5968 1313,-37.9516,1
